,city,Petrol Price,CHANGE
0,Agra,105.0₹/L,0.0
1,Ahmedabad,105.0₹/L,0.0
2,Allahabad,105.3₹/L,0.0
3,Aurangabad,122.1₹/L,0.0
4,Bangalore,111.0₹/L,0.0
5,Bhopal,118.1₹/L,0.0
6,Bhubaneswar,112.5₹/L,0.0
7,Chandigarh,104.7₹/L,0.0
8,Chennai,110.8₹/L,0.0
9,Coimbatore,111.3₹/L,0.0
10,Dehradun,103.7₹/L,0.0
11,Delhi,105.4₹/L,0.0
12,Erode,111.3₹/L,0.0
13,Gurgaon,105.8₹/L,0.0
14,Guwahati,105.6₹/L,0.0
15,Hyderabad,119.4₹/L,0.0
16,Indore,118.1₹/L,0.0
17,Jaipur,118.0₹/L,0.0
18,Jammu,106.5₹/L,0.0
19,Jamshedpur,108.6₹/L,0.0
20,Kanpur,104.9₹/L,0.0
21,Kolhapur,120.5₹/L,0.0
22,Kolkata,115.1₹/L,0.0
23,Kozhikode,115.3₹/L,0.0
24,Lucknow,105.2₹/L,0.0
25,Ludhiana,105.1₹/L,0.0
26,Madurai,111.4₹/L,0.0
27,Mangalore,110.2₹/L,0.0
28,Mumbai,120.5₹/L,0.0
29,Mysore,110.6₹/L,0.0
30,Nagpur,106.2₹/L,0.0
31,Nashik,120.8₹/L,0.0
32,Patna,116.2₹/L,0.0
33,Pune,119.9₹/L,0.0
34,Raipur,111.4₹/L,0.0
35,Rajkot,104.8₹/L,0.0
36,Ranchi,108.7₹/L,0.0
37,Salem,111.6₹/L,0.0
38,Shimla,105.8₹/L,0.0
39,Srinagar,110.6₹/L,0.0
40,Surat,104.9₹/L,0.0
41,Thane,120.6₹/L,0.0
42,Trichy,111.3₹/L,0.0
43,Vadodara,104.7₹/L,0.0
44,Varanasi,106.0₹/L,0.0
45,Visakhapatnam,120₹/L,0.0
46,Faridabad,106.1₹/L,0.0
47,Ghaziabad,105.2₹/L,0.0
48,Noida,105.4₹/L,0.0
49,Thiruvananthapuram,117.1₹/L,0.0
